,ID,Y,month,day,fuel,moisture,drought_code,initial_spread_code,temp,humidity,wind,rain,area_burned
0,14135,5,mar,fri,86.2,26.2,94.3,5.1,8.2,51,6.7,0.0,0.0
1,14136,4,oct,tue,90.6,35.4,669.1,6.7,18.0,33,0.9,0.0,0.0
2,14138,6,mar,fri,91.7,33.3,77.5,9.0,8.3,97,4.0,0.2,0.0
3,14139,6,mar,sun,89.3,51.3,102.2,9.6,11.4,99,1.8,0.0,0.0
4,14140,6,aug,sun,92.3,85.3,488.0,14.7,22.2,29,5.4,0.0,0.0
5,14141,6,aug,mon,92.3,88.9,495.6,8.5,24.1,27,3.1,0.0,0.0
6,14142,6,aug,mon,91.5,145.4,608.2,10.7,8.0,86,2.2,0.0,0.0
7,14143,6,sep,tue,91.0,129.5,692.6,7.0,13.1,63,5.4,0.0,0.0
8,14144,5,sep,sat,92.5,88.0,698.6,7.1,22.8,40,4.0,0.0,0.0
9,14145,5,sep,sat,92.5,88.0,698.6,7.1,17.8,51,7.2,0.0,0.0
10,14146,5,sep,sat,92.8,73.2,713.0,22.6,19.3,38,4.0,0.0,0.0
11,14147,5,aug,fri,63.5,70.8,665.3,0.8,17.0,72,6.7,0.0,0.0
12,14148,5,sep,mon,90.9,126.5,686.5,7.0,21.3,42,2.2,0.0,0.0
13,14149,5,sep,wed,92.9,133.3,699.6,9.2,26.4,21,4.5,0.0,0.0
14,14150,5,sep,fri,93.3,141.2,713.9,13.9,22.9,44,5.4,0.0,0.0
15,14151,5,mar,sat,91.7,35.8,80.8,7.8,15.1,27,5.4,0.0,0.0
16,14152,5,oct,mon,84.9,32.8,664.2,3.0,16.7,47,4.9,0.0,0.0
17,14153,4,mar,wed,89.2,27.9,70.8,6.3,15.9,35,4.0,0.0,0.0
18,14154,4,apr,sat,86.3,27.4,97.1,5.1,9.3,44,4.5,0.0,0.0
19,14155,4,sep,tue,91.0,129.5,692.6,7.0,18.3,40,2.7,0.0,0.0
20,14156,4,sep,mon,91.8,78.5,724.3,9.2,19.1,38,2.7,0.0,0.0
21,14157,4,jun,sun,94.3,96.3,200.0,56.1,21.0,44,4.5,0.0,0.0
22,14158,4,aug,sat,90.2,110.9,537.4,6.2,19.5,43,5.8,0.0,0.0
23,14159,4,aug,sat,93.5,139.4,594.2,20.3,23.7,32,5.8,0.0,0.0
24,14160,4,aug,sun,91.4,142.4,601.4,10.6,16.3,60,5.4,0.0,0.0
25,14161,4,sep,fri,92.4,117.9,668.0,12.2,19.0,34,5.8,0.0,0.0
26,14162,4,sep,mon,90.9,126.5,686.5,7.0,19.4,48,1.3,0.0,0.0
27,14163,3,sep,sat,93.4,145.4,721.4,8.1,30.2,24,2.7,0.0,0.0
28,14164,3,sep,sun,93.5,149.3,728.6,8.1,22.8,39,3.6,0.0,0.0
29,14165,3,sep,fri,94.3,85.1,692.3,15.9,25.4,24,3.6,0.0,0.0
30,14166,3,sep,mon,88.6,91.8,709.9,7.1,11.2,78,7.6,0.0,0.0
31,14167,3,sep,fri,88.6,69.7,706.8,5.8,20.6,37,1.8,0.0,0.0
32,14168,3,sep,sun,91.7,75.6,718.3,7.8,17.7,39,3.6,0.0,0.0
33,14169,3,sep,mon,91.8,78.5,724.3,9.2,21.2,32,2.7,0.0,0.0
34,14170,3,sep,tue,90.3,80.7,730.2,6.3,18.2,62,4.5,0.0,0.0
35,14171,3,oct,tue,90.6,35.4,669.1,6.7,21.7,24,4.5,0.0,0.0
36,14172,4,oct,fri,90.0,41.5,682.6,8.7,11.3,60,5.4,0.0,0.0
37,14173,3,oct,sat,90.6,43.7,686.9,6.7,17.8,27,4.0,0.0,0.0
38,14174,4,mar,tue,88.1,25.7,67.6,3.8,14.1,43,2.7,0.0,0.0
39,14175,4,jul,tue,79.5,60.6,366.7,1.5,23.3,37,3.1,0.0,0.0
40,14176,4,aug,sat,90.2,96.9,624.2,8.9,18.4,42,6.7,0.0,0.0
